reference_name,reference_type,works_count,total_repetitions,avg_reps_per_work,primary_tier,work_identifiers
Louis-Ferdinand Celine,author,3,3,1.0,exact,"JS-0000-T2684, JS-2022-T987, JS-2026-T7178"
Alfred Hitchcock,author,3,3,1.0,exact,"JS-0000-T2684, JS-1921-T2846, JS-2026-T7060"
Apocalypse Now,film,3,3,1.0,multi_word,"JS-0000-T325, JS-2019-T2318, JS-2024-T3354"
Frederic Chopin,musician,3,3,1.0,exact,"JS-0000-T3422, JS-1921-T2846, JS-2026-T7260"
Aretha Franklin,musician,3,3,1.0,multi_word,"JS-0000-T343, JS-1972-T2882, JS-2026-T6914"
Future Shock,work,3,3,1.0,exact,"JS-0000-T586, JS-0000-T6774, JS-2024-T6616"
Thelonious Monk,musician,3,3,1.0,multi_word,"JS-0000-T6522, JS-2015-T838, JS-2026-T7316"
Muddy Waters,musician,3,3,1.0,multi_word,"JS-0000-T6674, JS-1921-T698, JS-2026-T7026"
The Raven,work,3,3,1.0,exact,"JS-1921-T1698, JS-2026-T6904, JS-2026-T6906"
Jesus calming the storm,religious,3,3,1.0,exact,"JS-1921-T1714, JS-2021-T6450, JS-2021-T6788"
Adventures of Huckleberry Finn,work,3,3,1.0,exact,"JS-1921-T4636, JS-2021-T2776, JS-2026-T7008"
Albert Ayler,musician,3,3,1.0,exact,"JS-1921-T5290, JS-2026-T7024, JS-2026-T7276"
Night closed my windows,work,3,3,1.0,exact,"JS-1974-T1892, JS-2022-T3486, JS-2028-T339"
As I Grew Older,work,3,3,1.0,exact,"JS-2011-T1836, JS-2017-T1764, JS-2025-T3462"
Rock of Ages,religious,3,3,1.0,exact,"JS-2014-T6246, JS-2024-T1634, JS-2024-T6216"
Dan Flavin,visual_artist,3,3,1.0,exact,"JS-2016-T5778, JS-2021-T4374, JS-2026-T7360"
Leo Tolstoy,author,3,3,1.0,exact,"JS-2017-T6744, JS-2021-T5370, JS-2026-T7364"
Joni Mitchell,musician,3,3,1.0,multi_word,"JS-2023-T3568, JS-2026-T6898, JS-2026-T7022"
There Is a Balm in Gilead,religious,2,13,6.5,exact,"JS-0000-T5362, JS-2026-T7192"
Desert Solitaire,work,2,10,5.0,multi_word,"JS-0000-T5816, JS-2016-T5750"
Marcel Proust,author,2,10,5.0,exact,"JS-1921-T2792, JS-2015-T1170"
Auguste Rodin,visual_artist,2,3,1.5,exact,"JS-0000-T1288, JS-0000-T2632"
Vachel Lindsay,author,2,3,1.5,exact,"JS-0000-T6426, JS-2026-T7260"
Richard Wagner,musician,2,3,1.5,exact,"JS-1921-T2846, JS-2016-T6688"
Giuseppe Verdi,musician,2,3,1.5,exact,"JS-1921-T2846, JS-2021-T6480"
Bicycle Thieves,film,2,3,1.5,exact,"JS-1923-T556, JS-2020-T255"
Jasper Johns,visual_artist,2,2,1.0,multi_word,"JS-0000-T1526, JS-2026-T7342"
Marvin Gaye,musician,2,2,1.0,multi_word,"JS-0000-T1526, JS-2026-T7030"
Nosferatu,film,2,2,1.0,exact,"JS-0000-T1526, JS-0000-T6138"
Socrates,philosopher,2,2,1.0,fuzzy,"JS-0000-T1544, JS-0000-T5786"
Herman Melville,author,2,2,1.0,multi_word,"JS-0000-T1578, JS-1981-T4618"
A Wedding Toast,work,2,2,1.0,exact,"JS-0000-T1614, JS-2023-T6812"
Dmitri Karamazov,fictional_character,2,2,1.0,exact,"JS-0000-T1700, JS-0000-T3444"
Frida Kahlo,visual_artist,2,2,1.0,multi_word,"JS-0000-T1774, JS-0000-T2632"
Adam West,historical_figure,2,2,1.0,multi_word,"JS-0000-T197, JS-2021-T6728"
Ubu Roi,work,2,2,1.0,multi_word,"JS-0000-T2052, JS-2017-T2414"
James Turrell,visual_artist,2,2,1.0,fuzzy,"JS-0000-T2350, JS-2016-T5778"
David Copperfield,work,2,2,1.0,multi_word,"JS-0000-T2388, JS-0000-T6338"
Arthur Miller,author,2,2,1.0,exact,"JS-0000-T245, JS-2016-T6594"
Cy Twombly,visual_artist,2,2,1.0,exact,"JS-0000-T247, JS-2017-T566"
Stopping by Woods on a Snowy Evening,work,2,2,1.0,fuzzy,"JS-0000-T257, JS-1974-T3562"
Federico Fellini,film,2,2,1.0,fuzzy,"JS-0000-T2632, JS-2026-T7054"
Ixion,religious,2,2,1.0,exact,"JS-0000-T2674, JS-0000-T6206"
Wilson Pickett,musician,2,2,1.0,multi_word,"JS-0000-T2684, JS-2026-T7244"
Henny Youngman,historical_figure,2,2,1.0,exact,"JS-0000-T321, JS-1921-T2268"
The Book of Love,song,2,2,1.0,multi_word,"JS-0000-T3358, JS-1984-T6024"
Big Daddy,fictional_character,2,2,1.0,exact,"JS-0000-T5396, JS-2021-T4990"
unholy trinity,religious,2,2,1.0,exact,"JS-0000-T6016, JS-2026-T7226"
Andrew Dice Clay,historical_figure,2,2,1.0,exact,"JS-0000-T6034, JS-2026-T7184"
Leopold II of Belgium,historical_figure,2,2,1.0,exact,"JS-0000-T622, JS-2018-T1686"
Eric Clapton,musician,2,2,1.0,multi_word,"JS-0000-T6222, JS-2007-T275"
Nixon resignation,historical_event,2,2,1.0,fuzzy,"JS-0000-T6380, JS-2026-T6892"
Captain Beefheart,musician,2,2,1.0,exact,"JS-0000-T6674, JS-1951-T6696"
Tombstone Blues,song,2,2,1.0,multi_word,"JS-0000-T6768, JS-2016-T2112"
A Brief Encounter with the Enemy,work,2,2,1.0,exact,"JS-0000-T808, JS-2023-T1438"
Franz Kline,visual_artist,2,2,1.0,exact,"JS-1921-T2846, JS-1947-T6094"
Robert Motherwell,visual_artist,2,2,1.0,exact,"JS-1921-T2846, JS-1947-T6094"
Duke Ellington,musician,2,2,1.0,exact,"JS-1921-T5290, JS-2026-T7276"
Humphrey Bogart,other,2,2,1.0,multi_word,"JS-1922-T2696, JS-2021-T4872"
The Metamorphosis,work,2,2,1.0,exact,"JS-1982-T6456, JS-2024-T1662"
RMS Titanic,other,2,2,1.0,exact,"JS-2006-T2492, JS-2021-T1572"
Henri Matisse,visual_artist,2,2,1.0,exact,"JS-2011-T1612, JS-2016-T5750"
Notes from Underground,work,2,2,1.0,exact,"JS-2014-T5078, JS-2015-T6508"
The Clash,band,2,2,1.0,exact,"JS-2016-T5750, JS-2026-T7066"
The Byrds,band,2,2,1.0,multi_word,"JS-2018-T4124, JS-2027-T3428"
David Bowie,musician,2,2,1.0,multi_word,"JS-2019-T2318, JS-2021-T5048"
Peter Lorre,historical_figure,2,2,1.0,multi_word,"JS-2022-T3372, JS-2026-T7364"
Dorothy Gale,fictional_character,2,2,1.0,exact,"JS-2026-T6894, JS-2026-T7260"
Billie Holiday,musician,2,2,1.0,multi_word,"JS-2026-T6898, JS-2026-T6914"
Charles Baudelaire,author,2,2,1.0,fuzzy,"JS-2026-T7112, JS-2026-T7202"
Ray Charles,musician,2,2,1.0,multi_word,"JS-2026-T7142, JS-2026-T7276"
Brown Sugar,song,1,6,6.0,exact,JS-2023-T860
Diego Velazquez,visual_artist,1,4,4.0,fuzzy,JS-0000-T1796
Caravan,song,1,3,3.0,fuzzy,JS-0000-T3762
Philip Guston,visual_artist,1,3,3.0,exact,JS-2011-T127
Karma,religious,1,3,3.0,exact,JS-2021-T5588
Charles Marlow,fictional_character,1,3,3.0,exact,JS-2022-T3372
Truman Capote,author,1,2,2.0,multi_word,JS-2014-T1880
Black Crow,song,1,2,2.0,exact,JS-2019-T5216
Virginia Woolf,author,1,2,2.0,multi_word,JS-2022-T3486
Phlogiston theory,other,1,2,2.0,exact,JS-2026-T6936
David Hockney,visual_artist,1,2,2.0,exact,JS-2026-T7028
Wallace Stevens,author,1,1,1.0,multi_word,JS-0000-T1204
George Harrison,musician,1,1,1.0,multi_word,JS-0000-T1534
Gerhard Richter,visual_artist,1,1,1.0,exact,JS-0000-T1544
Tennessee Williams,author,1,1,1.0,multi_word,JS-0000-T1604
The Cabinet of Dr. Caligari,film,1,1,1.0,exact,JS-0000-T205
New York Yankees,sports,1,1,1.0,exact,JS-0000-T205
Weekend (1967 film),film,1,1,1.0,multi_word,JS-0000-T2052
Larry Rivers,visual_artist,1,1,1.0,multi_word,JS-0000-T2116
Joey Ramone,musician,1,1,1.0,exact,JS-0000-T221
There Is No Frigate Like a Book,work,1,1,1.0,multi_word,JS-0000-T2284
Bible,religious,1,1,1.0,exact,JS-0000-T2602
Jean Dubuffet,visual_artist,1,1,1.0,exact,JS-0000-T2632
Gustav Klimt,visual_artist,1,1,1.0,exact,JS-0000-T2632
Willem Dafoe,historical_figure,1,1,1.0,exact,JS-0000-T2684
Saki,author,1,1,1.0,exact,JS-0000-T2684
Michael McClure,author,1,1,1.0,fuzzy,JS-0000-T2684
Wile E. Coyote,fictional_character,1,1,1.0,exact,JS-0000-T3540
Mount Olympus,religious,1,1,1.0,exact,JS-0000-T3718
Robert Lowell,author,1,1,1.0,exact,JS-0000-T4748
Edward Abbey,author,1,1,1.0,multi_word,JS-0000-T5816
Blondie,band,1,1,1.0,exact,JS-0000-T6140
Barnett Newman,visual_artist,1,1,1.0,multi_word,JS-0000-T6196
Richard II,work,1,1,1.0,multi_word,JS-0000-T6218
Walt Whitman,author,1,1,1.0,exact,JS-0000-T6426
Looney Tunes,other,1,1,1.0,exact,JS-0000-T6772
World War II,historical_event,1,1,1.0,multi_word,JS-0000-T6844
Keith Moon,musician,1,1,1.0,multi_word,JS-0000-T880
Grantland Rice,author,1,1,1.0,exact,JS-0000-T89
Veronica Lake,historical_figure,1,1,1.0,multi_word,JS-1921-T1114
Sergei Rachmaninoff,musician,1,1,1.0,exact,JS-1921-T2846
Gustav Mahler,musician,1,1,1.0,exact,JS-1921-T2846
September 11 attacks,historical_event,1,1,1.0,exact,JS-1921-T4636
Count Basie,musician,1,1,1.0,exact,JS-1921-T5290
Man of La Mancha,work,1,1,1.0,multi_word,JS-1977-T6272
Edvard Munch,visual_artist,1,1,1.0,multi_word,JS-1984-T1600
William Blake,visual_artist,1,1,1.0,multi_word,JS-1993-T3450
Desiderius Erasmus,philosopher,1,1,1.0,fuzzy,JS-2003-T5820
The Kinks,band,1,1,1.0,exact,JS-2010-T4970
James and the Giant Peach,work,1,1,1.0,exact,JS-2013-T4776
Jean Tinguely,visual_artist,1,1,1.0,exact,JS-2014-T5400
King Lear,work,1,1,1.0,exact,JS-2014-T5640
Banksy,visual_artist,1,1,1.0,exact,JS-2016-T1202
Bruce Nauman,visual_artist,1,1,1.0,exact,JS-2017-T1088
Jeff Koons,visual_artist,1,1,1.0,exact,JS-2017-T1226
Janis Joplin,musician,1,1,1.0,multi_word,JS-2017-T5084
Whirling dervishes,religious,1,1,1.0,exact,JS-2017-T5700
Tivoli Gardens,venue,1,1,1.0,exact,JS-2018-T365
Casio,other,1,1,1.0,exact,JS-2019-T1200
Tom Wolfe,author,1,1,1.0,exact,JS-2019-T1322
Frank Zappa,musician,1,1,1.0,exact,JS-2019-T5216
Smokey Robinson,musician,1,1,1.0,multi_word,JS-2019-T5554
Paul Gauguin,visual_artist,1,1,1.0,fuzzy,JS-2019-T592
Louis Armstrong,musician,1,1,1.0,multi_word,JS-2020-T255
James Rosenquist,visual_artist,1,1,1.0,exact,JS-2021-T5844
Angkor Wat,other,1,1,1.0,multi_word,JS-2021-T5902
The Catcher in the Rye,work,1,1,1.0,multi_word,JS-2021-T6588
Mr. Tambourine Man,song,1,1,1.0,multi_word,JS-2022-T1484
Bellevue Hospital,other,1,1,1.0,exact,JS-2022-T371
Artificial Intelligence,work,1,1,1.0,exact,JS-2022-T987
Orion,other,1,1,1.0,exact,JS-2023-T187
Coca-Cola,other,1,1,1.0,fuzzy,JS-2023-T2202
South Boston,other,1,1,1.0,exact,JS-2023-T3426
Joseph Cornell,visual_artist,1,1,1.0,exact,JS-2023-T496
Doctor T.J. Eckleburg,fictional_character,1,1,1.0,multi_word,JS-2023-T6518
War on Terror,historical_event,1,1,1.0,exact,JS-2023-T6518
Parthenon,other,1,1,1.0,fuzzy,JS-2024-T3392
Book of Proverbs,religious,1,1,1.0,fuzzy,JS-2024-T924
Dizzy Gillespie,musician,1,1,1.0,exact,JS-2026-T7024
Art Blakey,musician,1,1,1.0,exact,JS-2026-T7024
The Temptations,band,1,1,1.0,exact,JS-2026-T7030
Zoot Suit Riot,song,1,1,1.0,exact,JS-2026-T7074
Sonny Rollins,musician,1,1,1.0,multi_word,JS-2026-T7126
John Keats,author,1,1,1.0,exact,JS-2026-T7132
Johnny Cash,musician,1,1,1.0,exact,JS-2026-T7132
Albert Camus,author,1,1,1.0,exact,JS-2026-T7134
Sam Shepard,author,1,1,1.0,multi_word,JS-2026-T7144
Wish You Were Here,other,1,1,1.0,multi_word,JS-2026-T7154
Luciano Pavarotti,musician,1,1,1.0,exact,JS-2026-T7154
Jean-Baptiste Clamence,fictional_character,1,1,1.0,fuzzy,JS-2026-T7190
Arthur Rimbaud,author,1,1,1.0,exact,JS-2026-T7202
Isis,religious,1,1,1.0,exact,JS-2026-T7246
Max Roach,musician,1,1,1.0,multi_word,JS-2026-T7276
Pharoah Sanders,musician,1,1,1.0,multi_word,JS-2026-T7276
Albrecht Durer,visual_artist,1,1,1.0,multi_word,JS-2026-T7342
Claes Oldenburg,visual_artist,1,1,1.0,exact,JS-2026-T7342
Henry Miller,author,1,1,1.0,multi_word,JS-2026-T7352
Hans Holbein,visual_artist,1,1,1.0,exact,JS-2026-T7360
Salvador Dali,visual_artist,1,1,1.0,exact,JS-2026-T7360
